# x	y	u	v	mask
  3.4501	  2.4451	 -0.0880	 -2.8025	  0.0000
  3.7194	  2.4451	 -0.2824	 -2.9166	  0.0000
  3.9888	  2.4451	 -0.4147	 -2.6327	  0.0000
  4.2582	  2.4451	 -0.4671	 -2.9080	  0.0000
  4.5276	  2.4451	 -0.1889	 -2.7025	  0.0000
  4.7969	  2.4451	 -0.1958	 -2.7450	  0.0000
  5.0663	  2.4451	 -0.1412	 -2.6621	  0.0000
  0.2176	  2.1757	 -0.5188	 -2.5361	  0.0000
  0.4869	  2.1757	 -0.0461	 -3.0527	  0.0000
  0.7563	  2.1757	 -0.0015	 -2.9418	  0.0000
  1.0257	  2.1757	 -0.0614	 -2.8140	  1.0000
  1.2951	  2.1757	 -0.0346	 -2.7164	  0.0000
  1.5644	  2.1757	  0.0613	 -3.0081	  0.0000
  1.8338	  2.1757	 -0.4434	 -3.1744	  0.0000
  2.1032	  2.1757	 -0.0902	 -3.0497	  0.0000
  2.3726	  2.1757	  0.0586	 -3.0709	  0.0000
  2.6419	  2.1757	  0.2352	 -2.8016	  0.0000
  2.9113	  2.1757	 -0.1517	 -2.7291	  1.0000
  3.1807	  2.1757	 -0.3774	 -2.4674	  0.0000
  3.4501	  2.1757	 -0.4327	 -2.4723	  0.0000
  3.7194	  2.1757	 -0.3793	 -2.6623	  0.0000
  3.9888	  2.1757	 -0.2140	 -2.7823	  0.0000
  4.2582	  2.1757	 -0.0538	 -2.8090	  0.0000
  4.5276	  2.1757	  0.0158	 -2.5789	  0.0000
  4.7969	  2.1757	 -0.0318	 -2.5732	  0.0000
  5.0663	  2.1757	  0.0386	 -2.6574	  0.0000
  0.2176	  1.9063	 -0.5559	 -2.4443	  0.0000
  0.4869	  1.9063	 -0.0209	 -2.7281	  1.0000
  0.7563	  1.9063	  0.0897	 -2.6991	  0.0000
  1.0257	  1.9063	  0.0542	 -2.7482	  0.0000
  1.2951	  1.9063	 -0.0586	 -2.8410	  0.0000
  1.5644	  1.9063	 -0.1002	 -3.1158	  0.0000
  1.8338	  1.9063	  0.0623	 -2.9552	  0.0000
  2.1032	  1.9063	  0.0957	 -2.7828	  0.0000
  2.3726	  1.9063	  0.1051	 -3.0477	  0.0000
  2.6419	  1.9063	  0.1983	 -2.7214	  0.0000
  2.9113	  1.9063	 -0.3224	 -2.5751	  0.0000
  3.1807	  1.9063	 -0.4792	 -2.5375	  0.0000
  3.4501	  1.9063	 -0.4525	 -2.3727	  0.0000
  3.7194	  1.9063	 -0.4048	 -2.3978	  0.0000
  3.9888	  1.9063	 -0.2976	 -2.4902	  0.0000
  4.2582	  1.9063	 -0.0934	 -2.6290	  0.0000
  4.5276	  1.9063	 -0.0209	 -2.6352	  0.0000
  4.7969	  1.9063	  0.0525	 -2.5613	  0.0000
  5.0663	  1.9063	  0.0413	 -2.5158	  0.0000
  0.2176	  1.6370	 -0.3996	 -2.4336	  0.0000
  0.4869	  1.6370	  0.0131	 -2.7108	  1.0000
  0.7563	  1.6370	 -0.4477	 -2.6491	  0.0000
  1.0257	  1.6370	 -0.2736	 -2.7584	  0.0000
  1.2951	  1.6370	 -0.4196	 -3.0553	  0.0000
  1.5644	  1.6370	  0.0852	 -3.0020	  0.0000
  1.8338	  1.6370	  0.0340	 -2.9449	  0.0000
  2.1032	  1.6370	 -0.0662	 -2.7861	  0.0000
  2.3726	  1.6370	  0.0335	 -2.9582	  0.0000
  2.6419	  1.6370	 -0.0477	 -2.8026	  0.0000
  2.9113	  1.6370	 -0.1442	 -2.5984	  0.0000
  3.1807	  1.6370	 -0.3502	 -2.4597	  0.0000
  3.4501	  1.6370	 -0.4004	 -2.5651	  0.0000
  3.7194	  1.6370	 -0.3732	 -2.5415	  0.0000
  3.9888	  1.6370	 -0.4792	 -2.5556	  0.0000
  4.2582	  1.6370	 -0.0673	 -2.5089	  0.0000
  4.5276	  1.6370	 -0.1613	 -2.6095	  1.0000
  4.7969	  1.6370	  0.0348	 -2.5664	  0.0000
  5.0663	  1.6370	 -0.0088	 -2.5067	  0.0000
  0.2176	  1.3676	  0.6024	 -2.2640	  0.0000
  0.4869	  1.3676	 -0.0577	 -2.5897	  0.0000
  0.7563	  1.3676	 -0.2354	 -2.7055	  0.0000
  1.0257	  1.3676	 -0.4140	 -2.6586	  0.0000
  1.2951	  1.3676	 -0.1522	 -3.2151	  0.0000
  1.5644	  1.3676	 -0.2126	 -2.4533	  0.0000
  1.8338	  1.3676	 -0.0036	 -2.8875	  0.0000
  2.1032	  1.3676	 -0.1452	 -2.6139	  0.0000
  2.3726	  1.3676	  0.2805	 -2.6348	  0.0000
  2.6419	  1.3676	 -0.0218	 -2.9097	  0.0000
  2.9113	  1.3676	  0.2311	 -2.2385	  0.0000
  3.1807	  1.3676	  0.1461	 -2.4486	  0.0000
  3.4501	  1.3676	 -0.1000	 -2.6217	  0.0000
  3.7194	  1.3676	 -0.2522	 -2.6477	  0.0000
  3.9888	  1.3676	 -0.3671	 -2.6331	  0.0000
